,price,area,br,ba,posdt,dogs,cats,wd,house,apartment,laundry,garage,carport,furnished,latitude,longitude,zipc,num_img
133,1500.0,664.0,1.0,1.0,2018-07-11T17:35:37-0700,1,1,1,0,1,0,1,0,0,47.621557,-122.360569,,17.0
134,2031.0,981.0,2.0,2.0,2018-07-11T17:35:05-0700,1,1,1,0,1,0,1,0,0,47.621557,-122.360569,,6.0
135,3620.0,1100.0,2.0,2.0,2018-07-11T17:29:02-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
136,2350.0,640.0,1.0,1.0,2018-07-11T17:34:20-0700,1,1,1,0,1,0,1,0,0,47.617377,-122.353114,"e, WA",9.0
137,1880.0,513.0,1.0,1.0,2018-07-11T17:24:46-0700,1,1,1,0,1,0,1,0,0,47.62112,-122.357838,98119,14.0
138,1550.0,836.0,2.0,1.0,2018-07-11T17:33:46-0700,0,0,0,0,0,0,0,0,0,47.672223,-122.671451,98383,9.0
139,3525.0,1061.0,2.0,2.0,2018-07-11T17:33:16-0700,1,1,1,0,1,0,0,0,0,47.618096,-122.305241,98122,20.0
140,2595.0,827.0,2.0,,2018-07-11T17:28:47-0700,1,1,1,0,1,0,1,0,0,47.633958,-122.342338,98109,14.0
141,1305.0,552.0,1.0,1.0,2018-07-11T17:32:40-0700,1,1,1,0,1,0,0,0,0,47.390295,-122.308992,98198,19.0
142,1325.0,350.0,0.0,1.0,2018-07-11T17:32:32-0700,0,1,0,0,1,1,1,0,0,47.62447,-122.331649,98109,4.0
143,1652.0,931.0,2.0,1.0,2018-07-11T17:12:30-0700,1,1,1,0,1,0,0,0,0,47.6462,-122.0386,98053,7.0
144,1690.0,481.0,0.0,1.0,2018-07-11T17:22:07-0700,1,1,1,0,1,0,1,0,0,47.60456,-122.317046,98122,15.0
145,2590.0,800.0,1.0,1.0,2018-07-11T17:30:57-0700,1,1,1,0,1,0,1,0,0,47.647731,-122.357797,98109,10.0
146,1730.0,567.0,1.0,1.0,2018-07-11T17:31:54-0700,1,1,1,0,1,0,1,0,0,47.580485,-122.385038,98116,23.0
147,1950.0,2350.0,4.0,3.0,2018-07-11T17:31:52-0700,0,0,0,1,0,0,1,0,0,47.192391,-122.569481,,5.0
148,1150.0,740.0,2.0,1.0,2018-06-16T05:48:55-0700,0,0,0,0,0,0,0,0,0,47.14589,-122.50104,,8.0
149,1425.0,523.0,1.0,1.0,2018-07-11T17:31:15-0700,1,1,0,0,1,1,0,0,0,47.388442,-122.256759,98032,10.0
150,1165.0,600.0,1.0,1.0,2018-07-11T17:31:11-0700,1,1,0,0,0,0,0,0,0,47.50702,-122.352783,98146,11.0
151,1351.0,755.0,1.0,1.0,2018-07-11T17:30:52-0700,1,1,1,0,1,0,0,1,0,47.896214,-122.258962,98146,11.0
152,1690.0,481.0,0.0,1.0,2018-07-11T17:19:50-0700,1,1,1,0,1,0,1,0,0,47.604502,-122.317046,98122,15.0
153,2155.0,844.0,2.0,,2018-07-11T17:30:50-0700,1,1,1,0,1,0,1,0,0,47.364747,-122.110195,98042,6.0
